iter	Passed	Remaining
411	3255	4646
412	3262	4637
413	3269	4627
414	3278	4620
415	3284	4611
416	3292	4602
417	3299	4593
418	3306	4584
419	3313	4576
420	3320	4566
421	3327	4557
422	3334	4548
423	3342	4540
424	3349	4532
425	3357	4524
426	3364	4514
427	3371	4505
428	3377	4496
429	3385	4487
430	3393	4480
431	3400	4470
432	3407	4462
433	3414	4452
434	3420	4443
435	3428	4434
436	3434	4424
437	3441	4415
438	3447	4406
439	3454	4396
440	3463	4389
441	3469	4379
442	3478	4373
443	3484	4363
444	3493	4357
445	3501	4349
446	3510	4342
447	3516	4332
448	3524	4324
449	3531	4316
450	3541	4310
451	3548	4301
452	3555	4293
453	3562	4283
454	3569	4275
455	3576	4266
456	3582	4257
457	3591	4249
458	3598	4241
459	3606	4233
460	3612	4223
461	3621	4216
462	3628	4208
463	3636	4200
464	3644	4192
465	3652	4185
466	3665	4183
467	3675	4178
468	3682	4169
469	3693	4164
470	3701	4157
471	3711	4151
472	3720	4145
473	3727	4136
474	3736	4129
475	3742	4120
476	3752	4114
477	3759	4105
478	3767	4097
479	3775	4089
480	3784	4083
481	3792	4075
482	3802	4070
483	3811	4063
484	3820	4056
485	3828	4048
486	3836	4041
487	3845	4034
488	3852	4026
489	3861	4019
490	3871	4013
491	3878	4004
492	3886	3997
493	3894	3989
494	3905	3984
495	3912	3975
496	3921	3969
497	3929	3960
498	3937	3952
499	3943	3943
500	3952	3937
501	3960	3928
502	3972	3925
503	3983	3920
504	3991	3912
505	4001	3906
506	4008	3897
507	4017	3891
508	4024	3881
509	4033	3875
510	4040	3866
511	4049	3859
512	4056	3850
513	4065	3844
514	4073	3836
515	4081	3828
516	4088	3819
517	4097	3812
518	4105	3804
519	4113	3796
520	4120	3788
521	4131	3782
522	4139	3775
523	4149	3768
524	4156	3760
525	4165	3753
526	4172	3744
527	4181	3738
528	4188	3729
529	4197	3722
530	4204	3713
531	4214	3707
532	4221	3698
533	4229	3691
534	4236	3682
535	4244	3674
536	4251	3665
537	4263	3661
538	4269	3651
539	4280	3646
540	4288	3638
541	4297	3631
542	4304	3622
543	4311	3614
544	4318	3604
545	4325	3596
546	4332	3588
547	4340	3580
548	4347	3571
549	4355	3563
550	4362	3555
551	4369	3546
552	4377	3538
553	4384	3529
554	4392	3521
555	4399	3513
556	4407	3505
557	4414	3496
558	4422	3488
559	4428	3479
560	4435	3470
561	4445	3465
562	4453	3456
563	4461	3449
564	4468	3440
565	4476	3432
566	4482	3423
567	4490	3415
568	4497	3406
569	4504	3398
570	4511	3389
571	4518	3381
572	4525	3372
573	4531	3363
574	4541	3356
575	4547	3347
576	4555	3339
577	4561	3330
578	4570	3322
579	4576	3314
580	4585	3307
581	4597	3301
582	4605	3294
583	4612	3285
584	4619	3277
585	4626	3268
586	4634	3260
587	4642	3252
588	4650	3245
589	4661	3239
590	4669	3231
591	4680	3225
592	4696	3223
593	4708	3217
594	4717	3211
595	4726	3204
596	4738	3198
597	4748	3192
598	4761	3187
599	4783	3189
600	4791	3181
601	4806	3177
602	4817	3171
603	4827	3164
604	4838	3159
605	4848	3152
606	4858	3145
607	4868	3139
608	4883	3135
609	4897	3131
610	4942	3146
611	4960	3144
612	5017	3167
613	5034	3164
614	5076	3177
615	5085	3170
616	5117	3176
617	5134	3173
618	5141	3164
619	5148	3155
620	5154	3146
621	5163	3137
622	5169	3128
623	5176	3118
624	5182	3109
625	5189	3100
626	5198	3092
627	5205	3083
628	5212	3074
629	5219	3065
630	5229	3058
631	5237	3049
632	5246	3041
633	5252	3032
634	5260	3024
635	5268	3015
636	5277	3007
637	5283	2998
638	5291	2989
639	5297	2980
640	5304	2971
641	5313	2962
642	5320	2953
643	5330	2946
644	5338	2938
645	5348	2930
646	5355	2921
647	5363	2913
648	5371	2904
649	5382	2898
650	5392	2890
651	5401	2882
652	5412	2875
653	5420	2867
654	5428	2859
655	5436	2850
656	5446	2843
657	5453	2834
658	5461	2826
659	5469	2817
660	5478	2809
661	5485	2800
662	5494	2792
663	5501	2784
664	5512	2776
665	5523	2770
666	5532	2762
667	5545	2755
668	5554	2748
669	5565	2741
670	5574	2733
671	5582	2724
672	5593	2717
673	5601	2709
674	5609	2700
675	5616	2692
676	5625	2683
677	5633	2675
678	5645	2668
679	5653	2660
680	5661	2652
681	5672	2644
682	5679	2635
683	5690	2628
684	5697	2619
685	5709	2613
686	5719	2605
687	5726	2596
688	5735	2588
689	5743	2580
690	5752	2572
691	5761	2564
692	5770	2556
693	5777	2547
694	5787	2539
695	5793	2530
696	5802	2522
697	5811	2514
698	5820	2506
699	5827	2497
700	5836	2489
701	5844	2480
702	5856	2474
703	5866	2466
704	5873	2457
705	5880	2448
706	5886	2439
707	5893	2430
708	5901	2422
709	5908	2413
710	5917	2405
711	5924	2396
712	5933	2388
713	5939	2379
714	5947	2370
715	5954	2361
716	5961	2353
717	5968	2344
718	5975	2335
719	5983	2327
720	5989	2317
721	5997	2309
722	6004	2300
723	6012	2291
724	6020	2283
725	6028	2275
726	6036	2266
727	6043	2258
728	6050	2249
729	6058	2240
730	6065	2232
731	6071	2223
732	6079	2214
733	6086	2205
734	6093	2197
735	6100	2188
736	6107	2179
737	6115	2170
738	6121	2162
739	6129	2153
740	6136	2144
741	6145	2136
742	6151	2127
743	6159	2119
744	6167	2111
745	6175	2102
746	6182	2093
747	6189	2085
748	6196	2076
749	6203	2067
750	6211	2059
751	6218	2050
752	6227	2042
753	6233	2033
754	6242	2025
755	6248	2016
756	6258	2008
757	6265	2000
758	6274	1992
759	6281	1983
760	6289	1975
761	6298	1967
762	6308	1959
763	6322	1953
764	6339	1947
765	6350	1939
766	6360	1932
767	6373	1925
768	6388	1919
769	6401	1912
770	6421	1907
771	6433	1900
772	6444	1892
773	6456	1885
774	6463	1876
775	6474	1868
776	6483	1860
777	6502	1855
778	6512	1847
779	6529	1841
780	6551	1837
781	6571	1831
782	6588	1825
783	6600	1818
784	6612	1811
785	6628	1804
786	6644	1798
787	6659	1791
788	6673	1784
789	6688	1777
790	6703	1771
791	6716	1763
792	6735	1758
793	6748	1750
794	6759	1743
795	6772	1735
796	6781	1727
797	6793	1719
798	6809	1713
799	6821	1705
800	6830	1696
801	6839	1688
802	6848	1680
803	6857	1671
804	6868	1663
805	6875	1654
806	6886	1646
807	6895	1638
808	6903	1629
809	6912	1621
810	6921	1613
811	6930	1604
812	6939	1596
813	6953	1588
814	6964	1580
815	6973	1572
816	6982	1564
817	6991	1555
818	7001	1547
819	7010	1538
820	7019	1530
821	7028	1522
822	7038	1513
823	7050	1505
824	7059	1497
825	7069	1489
826	7081	1481
827	7088	1472
828	7101	1464
829	7116	1457
830	7126	1449
831	7136	1440
832	7146	1432
833	7153	1423
834	7166	1416
835	7176	1407
836	7185	1399
837	7196	1391
838	7203	1382
839	7215	1374
840	7224	1365
841	7234	1357
842	7245	1349
843	7256	1341
844	7265	1332
845	7275	1324
846	7288	1316
847	7296	1307
848	7304	1299
849	7312	1290
850	7321	1281
851	7330	1273
852	7339	1264
853	7348	1256
854	7359	1248
855	7366	1239
856	7377	1230
857	7384	1222
858	7393	1213
859	7403	1205
860	7414	1197
861	7431	1189
862	7444	1181
863	7457	1173
864	7468	1165
865	7478	1157
866	7487	1148
867	7496	1139
868	7506	1131
869	7517	1123
870	7526	1114
871	7535	1106
872	7545	1097
873	7555	1089
874	7563	1080
875	7573	1072
876	7582	1063
877	7594	1055
878	7606	1047
879	7613	1038
880	7622	1029
881	7633	1021
882	7641	1012
883	7651	1004
884	7660	995
885	7669	986
886	7677	978
887	7689	969
888	7699	961
889	7706	952
890	7715	943
891	7724	935
892	7735	926
893	7743	918
894	7752	909
895	7758	900
896	7767	891
897	7775	883
898	7784	874
899	7791	865
900	7801	857
901	7808	848
902	7817	839
903	7824	830
904	7835	822
905	7842	813
906	7851	805
907	7858	796
908	7866	787
909	7874	778
910	7884	770
911	7894	761
912	7903	753
913	7915	744
914	7923	736
915	7933	727
916	7943	718
917	7950	710
918	7958	701
919	7966	692
920	7974	684
921	7981	675
922	7989	666
923	7998	657
924	8006	649
925	8013	640
926	8020	631
927	8028	622
928	8035	614
929	8044	605
930	8051	596
931	8063	588
932	8073	579
933	8080	571
934	8090	562
935	8098	553
936	8107	545
937	8114	536
938	8123	527
939	8130	518
940	8139	510
941	8146	501
942	8155	492
943	8162	484
944	8171	475
945	8178	466
946	8188	458
947	8196	449
948	8205	440
949	8214	432
950	8224	423
951	8232	415
952	8242	406
953	8248	397
954	8256	389
955	8263	380
956	8273	371
957	8279	362
958	8288	354
959	8294	345
960	8305	337
961	8311	328
962	8320	319
963	8327	310
964	8337	302
965	8344	293
966	8352	285
967	8359	276
968	8368	267
969	8377	259
970	8387	250
971	8393	241
972	8401	233
973	8409	224
974	8418	215
975	8425	207
976	8432	198
977	8439	189
978	8447	181
979	8453	172
980	8465	163
981	8479	155
982	8488	146
983	8498	138
984	8505	129
985	8517	120
986	8525	112
987	8535	103
988	8542	95
989	8550	86
990	8557	77
991	8566	69
992	8572	60
993	8582	51
994	8588	43
995	8596	34
996	8603	25
997	8612	17
998	8618	8
999	8625	0
